Area code,Name,Geography,"Total number of domestic abuse-related crimes
Apr 2015 to Mar 2016","Percentage of all crimes that were domestic abuse-related
Apr 2015 to Mar 2016","Total number of domestic abuse-related crimes
Apr 2016 to Mar 2017","Percentage of all crimes that were domestic abuse-related
Apr 2016 to Mar 2017","Total number of domestic abuse-related crimes
Apr 2017 to Mar 2018","Percentage of all crimes that were domestic abuse-related
Apr 2017 to Mar 2018","Total number of domestic abuse-related crimes
Apr 2018 to Mar 2019","Percentage of all crimes that were domestic abuse-related
Apr 2018 to Mar 2019","Total number of domestic abuse-related crimes
Apr 2019 to Mar 2020","Percentage of all crimes that were domestic abuse-related
Apr 2019 to Mar 2020","Total number of domestic abuse-related crimes
Apr 2020 to Mar 2021","Percentage of all crimes that were domestic abuse-related
Apr 2020 to Mar 2021","Total number of domestic abuse-related crimes
Apr 2021 to Mar 2022","Percentage of all crimes that were domestic abuse-related
Apr 2021 to Mar 2022","Total number of domestic abuse-related crimes
Apr 2022 to Mar 2023","Percentage of all crimes that were domestic abuse-related
Apr 2022 to Mar 2023","Total number of domestic abuse-related crimes
Apr 2023 to Mar 2024
[note 3][note 4]","Percentage of all crimes that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
E23000022,Northamptonshire,Police force area,6770,13.758764353216137,7203,13.241782484006176,7614,13.90583336377251,8983,14.76544265097472,10483,16.658456355575332,12385,20.23659744121828,11220,18.17268913687825,10416,16.32857814704499,9449,15.724222858283964
E23000019,Nottinghamshire,Police force area,6924,9.573453162806775,9201,11.165991116720468,10376,10.651993142317446,14378,13.304586001406522,14998,13.971643098019488,13583,15.952037017463505,15397,15.45961142627642,16255,15.470933109985914,15763,15.608166983523448
E12000005,West Midlands ,Region,43203,11.947368857695148,51364,12.766951680254524,58405,13.166942081686667,71827,15.150402980006033,80597,17.181161413000613,98185,22.021733523230647,108910,19.49430439109609,112607,18.750832578462195,95941,17.734896196298152
E23000015,Staffordshire,Police force area,11902,17.469799938352242,14323,18.466755199133583,16034,19.137305452114962,17568,20.694041981765494,16074,20.243057741955795,18353,27.697624581207933,17870,25.613094640886352,23697,24.186288618757462,19179,22.22595635697813
E23000017,Warwickshire,Police force area,3498,11.084352620571646,4667,12.503683858004019,5275,12.679069320257668,6825,16.18410756206872,7294,17.372871263546504,7132,19.440128655927168,7614,18.97380946447706,7135,17.05265170526517,6666,16.705929527341986
E23000016,West Mercia,Police force area,8836,11.582120854633635,10780,13.34092371664769,12632,14.949643182598198,15238,17.4956369982548,17069,19.64844829173957,16880,23.149290984393428,17415,19.987604586303068,17204,18.129511565414404,15358,17.734411085450347
E23000014,West Midlands,Police force area,18967,10.21741706799401,21594,10.450563809708173,24464,10.468659066789908,32196,12.386316421217858,40160,15.396470619807621,55820,20.67499296265019,66011,18.252781011422677,64571,17.650499820955577,54738,16.67926138094948
E12000006,East of England ,Region,39318,11.389885892566939,44693,11.70234214419439,56599,12.881325844128652,68905,14.262620157477707,82095,16.465696715886253,86091,19.60025863207311,88255,18.371722680766467,83291,17.27781707597875,73281,16.151364075166295
E23000026,Bedfordshire,Police force area,4655,11.44240696130967,4452,10.39288465578822,5458,11.633309887673978,6184,10.764330101481313,7907,14.12695860356256,8313,17.228301417557823,8155,15.861747028961547,7913,15.554419829772177,7993,15.888444948019162
E23000023,Cambridgeshire,Police force area,4900,10.087493566649512,6508,11.248811684383373,7628,11.529799422603123,7979,12.222732843137255,10852,15.901065248289303,12229,20.353849738690457,12219,18.04821127883962,11325,15.844035927138421,10125,14.659253789688572
E23000028,Essex,Police force area,12780,11.511232008070472,13694,11.349433937244111,17763,13.261215256780668,26030,16.42716951602012,30316,18.139607242439837,29645,19.9503344684173,31595,18.935943231126988,29204,17.785518967606773,25311,16.395470857246497
E23000027,Hertfordshire,Police force area,7923,12.417522137763498,8969,12.112740728736192,10932,13.223500381028414,11130,12.976413939443402,12505,14.83128743402716,12875,18.039792629956565,12829,17.214126613530848,12565,16.504663076316827,11432,15.322753592108086
E23000024,Norfolk,Police force area,5084,11.951385787160017,6084,13.338010260007893,8118,14.34427677845708,9681,15.733021305640875,11498,17.439179760965843,13658,21.797695425963166,14124,20.407455570004334,13069,19.43634741225461,10808,18.173563585613156
E23000025,Suffolk,Police force area,3976,10.306392244284307,4986,12.18921892189219,6700,12.617702448210922,7901,14.463808442866034,9017,15.821796423996771,9371,19.410497535109158,9333,18.414821830235585,9215,17.67119872667651,7612,16.59074562455047
E12000007,London ,Region,76133,10.207794784884532,75313,9.642865831095882,79209,9.571147718471062,88413,10.150385003518819,90007,9.838604775724583,94457,12.626675132840958,97795,11.681310858202181,95227,10.70927720504138,94753,10.101383765804567
E23000034,"London, City of",Police force area,111,2.123589056820356,106,1.9297287456763152,108,1.839863713798978,135,1.8763029881862405,119,1.3676588897827835,73,1.9094951608684279,173,2.7382082937638494,114,1.4956704277092627,144,1.8892679086853845
E23000001,Metropolitan Police,Police force area,76022,10.264851033951972,75207,9.697497195466326,79101,9.626377156932303,88278,10.219300885816288,89888,9.9199456151077,94384,12.68172608202598,97622,11.749314577180174,95113,10.788936669317215,94609,10.168659003996138
E12000008,South East ,Region,63350,11.972188992389581,73327,12.629542937552424,86936,12.945323074678027,107692,15.045447052018922,114546,15.738902346696639,119398,18.897710078314436,124901,17.35538797805096,121850,16.55939638723846,111963,15.689266676755956
E23000030,Hampshire,Police force area,16631,12.542516044857727,19279,13.286515692409477,20031,12.53339673760019,22504,14.057795379867818,24203,14.999659140911147,25791,18.486051779007425,30552,17.81852538754943,30542,17.42449310254333,26136,16.235355505584476
E23000032,Kent,Police force area,16007,14.206850032395204,20969,16.331124074175033,29403,16.69818553539484,36235,18.07646642122382,34972,18.338559637549686,39332,23.535184298707517,38973,21.548354279205807,34851,19.8942807724582,30769,18.501993373461374
E23000031,Surrey,Police force area,6884,11.59566762679603,7161,11.127859273993039,8147,11.069443878313564,9018,11.740658768389533,9681,12.54129260425168,9361,13.927572457299291,8952,12.374554200879157,8172,11.030126336248784,8635,11.479354444178565
E23000033,Sussex,Police force area,10703,11.268094962362479,12461,11.886524281476254,14846,13.097716766065568,17436,14.913653742526494,19039,14.893650309388029,18957,17.51434352393359,18955,15.785046884628837,17910,13.840696748865929,18814,13.813306706215768
E23000029,Thames Valley,Police force area,13125,10.13333539216973,13457,9.757600806305424,14509,9.756573196153587,22499,13.929630569778169,26651,15.612405098884619,25957,17.33621858449044,27469,15.703929841411405,30375,16.700204525961603,27609,15.783696640197576
