Area code,Name,Geography,"Violence against the person domestic abuse-related offences
Apr 2015 to Mar 2016","Percentage of violence offences that were domestic abuse-related
Apr 2015 to Mar 2016","Violence against the person domestic abuse-related offences
Apr 2016 to Mar 2017","Percentage of violence offences that were domestic abuse-related
Apr 2016 to Mar 2017","Violence against the person domestic abuse-related offences
Apr 2017 to Mar 2018","Percentage of violence offences that were domestic abuse-related
Apr 2017 to Mar 2018","Violence against the person domestic abuse-related offences
Apr 2018 to Mar 2019","Percentage of violence offences that were domestic abuse-related
Apr 2018 to Mar 2019","Violence against the person domestic abuse-related offences
Apr 2019 to Mar 2020","Percentage of violence offences that were domestic abuse-related
Apr 2019 to Mar 2020","Violence against the person domestic abuse-related offences
Apr 2020 to Mar 2021","Percentage of violence offences that were domestic abuse-related
Apr 2020 to Mar 2021","Violence against the person domestic abuse-related offences
Apr 2021 to Mar 2022","Percentage of violence offences that were domestic abuse-related
Apr 2021 to Mar 2022","Violence against the person domestic abuse-related offences
Apr 2022 to Mar 2023","Percentage of violence offences that were domestic abuse-related
Apr 2022 to Mar 2023","Violence against the person domestic abuse-related offences
Apr 2023 to Mar 2024","Percentage of violence offences that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
E12000007,London ,Region,59841,32.10767480791518,59294,30.676820876835365,62224,30.832045031117453,70903,32.683682359394666,71915,32.3636756387005,76044,34.90402357412354,78801,32.53738861866499,76431,31.592849023457685,76533,30.3046981726029
E23000034,"London, City of",Police force area,100,12.300123001230013,98,11.316397228637413,94,9.873949579831933,119,9.908409658617819,106,8.915054667788057,62,12.757201646090534,152,13.743218806509946,97,8.347676419965577,119,9.504792332268371
E23000001,Metropolitan Police,Police force area,59741,32.194456869095674,59196,30.763953850951044,62130,30.93137645371993,70784,32.810472058441796,71809,32.48981992579857,75982,34.953537583954365,78649,32.62361041977767,76334,31.705037734203344,76414,30.408328126927533
E12000008,South East ,Region,49081,33.29060176895111,56591,34.330866294588695,67330,32.12263183255965,84516,34.41471449338508,90454,35.23120306608918,96473,38.07578610022457,100328,33.910404174919385,96640,33.12640754667827,88234,31.549325991346944
E23000030,Hampshire,Police force area,13295,31.018874967919555,15358,34.48446200826298,16004,30.292820503113703,18341,32.56164894278055,19787,32.92839193889268,20983,37.09865629420085,24818,33.40691883160587,24177,32.929270917040085,20598,31.380255941499087
E23000032,Kent,Police force area,12352,37.335267803167696,16156,39.20217412404154,22565,34.38843000396233,28080,35.20164474921335,27267,36.301789327936945,31892,41.47096304387402,31380,37.63763283517643,27570,35.88115100797793,24013,33.717126047824316
E23000031,Surrey,Police force area,5480,33.57637399669138,5655,31.023699802501646,6555,30.215727851018716,7276,31.192660550458715,7810,32.03576848927356,7631,31.799808309372004,7227,26.6580597565474,6665,24.331921728971963,6987,24.70388572640809
E23000033,Sussex,Police force area,8302,31.042476817230032,9638,31.891730915588496,11570,33.17467599495355,13763,35.771280051981805,15006,34.60553928464359,15267,37.255667537031165,15215,33.01866319444444,14216,30.01879342019131,14824,30.2783962090729
E23000029,Thames Valley,Police force area,9652,33.959608753782284,9784,31.928988676043467,10636,30.75410594494564,17056,35.76881134133043,20584,38.26093421810814,20700,37.682267489487195,21688,33.362047747969484,24012,35.98705113602302,21812,33.2657200811359
E12000009,South West ,Region,28571,34.329416288179175,32513,32.626867768512106,37859,32.96817172464841,42720,33.26014854953987,48107,35.304521403462424,49426,37.413894902578235,54508,34.116542529886715,53739,33.1245800792687,56186,34.31792917262188
E23000036,Avon and Somerset,Police force area,10329,32.814435937351085,12800,32.13335341667922,12996,31.57127587212127,13346,30.86708143488216,15147,33.39359333318636,15610,35.48775774660695,17584,32.27073354254987,16195,30.646809476951027,17825,30.68672852789781
E23000035,Devon and Cornwall,Police force area,8341,34.59703845037123,9254,34.12493546721735,13217,35.882608459575394,15627,37.69447861639771,16174,39.244898454371196,16464,41.177500437686014,17123,37.188341586308745,16737,37.07715823752243,17647,36.89448265769062
E23000039,Dorset,Police force area,3920,36.942795212515314,4215,32.530678397777265,4816,31.845533293658665,5630,29.199730304444792,7206,36.0101943930838,7263,38.628869269226676,7432,36.13907123753951,6772,32.95056442195407,7404,37.599024984765386
E23000037,Gloucestershire,Police force area,2264,36.801040312093626,2096,30.65223749634396,2476,29.020159399906234,2991,30.442748091603054,4351,30.348050498709632,4364,30.784424379232505,6407,30.53860819828408,8087,31.925308910031188,8271,38.145090623991145
